artwork_id,artist_name,title,exhibition_history,is_on_view,date,category_titles,artwork_type_title
185019,"Dieter Roth
Swiss, born Germany, 1930-1998",Piccadilly Triptych,,False,1968–70,Prints and Drawings,Drawing and Watercolor
260645,"János Megyik
Hungarian, born 1938",Drawing (Geometric Construction for Corpus),,False,1988,Prints and Drawings,Drawing and Watercolor
118570,"Daniel Chester French (American, 1850–1931)","Bust of Mary Harris Thompson, M. D.",,False,1902,Arts of the Americas,Sculpture
146929,"Joseph Mozier (American, 1812–1870)",Pocahontas,,False,1868,Arts of the Americas,Sculpture
107863,"Hiram Powers
American, 1805–1873",Ginevra,,False,1865–68,Arts of the Americas,Sculpture
64076,"Hiram Powers
American, 1805–1873",America,"Beloit College, Wis., Theodore Lyman Wright Art Center, 1932–1972.",False,1850–54,Arts of the Americas,Sculpture
260557,"Giovanni Battista Balestra (Italian, 1774-1842)
after a drawing by Giovanni Tognolli (Italian, 1786-1862)
after the sculpture of Antonio Canova (Italian, 1757-1822)","Paris Leaning on Tree Stump, Front View, from Oeuvre de Canova",,False,1817,Prints and Drawings,Print
260559,"Angelo Bertini (Italian, born 1783)
after a drawing by Giovanni Tognolli (Italian, 1786-1862)
after the sculpture of Antonio Canova (Italian, 1757-1822)","Ettore, Front View, from Oeuvre de Canova",,False,1817,Prints and Drawings,Print
260558,"Angelo Testa (Italian, born c. 1775)
after a drawing by Giovanni Tognolli (Italian, 1786-1862)
after the sculpture of Antonio Canova (Italian, 1757-1822)","Paris Leaning on Tree Stump, Back View, from Oeuvre de Canova",,False,1817,Prints and Drawings,Print
260565,"Domenico Marchetti (Italian, c. 1780-after1844)
after a drawing by Giovanni Tognolli (Italian, 1786-1862)
after the sculpture of Antonio Canova (Italian, 1757-1822)","George Washington, Back View, from Oeuvre de Canova",,False,1817,Prints and Drawings,Print
260563,"Domenico Marchetti (Italian, c. 1780-after1844)
after a drawing by Giovanni Tognolli (Italian, 1786-1862)
after the sculpture of Antonio Canova (Italian, 1757-1822)","The Three Graces, Back View, from Oeuvre de Canova",,False,1817,Prints and Drawings,Print
260560,"Pietro Bonato (Italian, 1765-1820)
after a drawing by Giovanni Tognolli (Italian, 1786-1862)
after the sculpture of Antonio Canova (Italian, 1757-1822)","Ettore, Side View, from Oeuvre de Canova",,False,1817,Prints and Drawings,Print
135132,Egyptian,Box for a Mummified Animal with Cobra Figure,,False,Late Period–Ptolemaic Period (664–30 BCE),Arts of Africa,Sculpture
136433,Egyptian,"Statuette of a Lion-headed God, probably Horus of Buto","Art Institute of Chicago, When the Greeks Ruled: Egypt After Alexander the Great, October 31, 2013 - July 27, 2014; traveled to New York City, NY, the Institute for the Study of the Ancient World, October 8, 2014 - January 4, 2015.",False,Late Period (664–332 BCE),Arts of Africa,Sculpture
57994,"Designed by Jean Lurçat (French, 1892–1966)
France",Carpet,"Art Institute of Chicago, Agnes Allerton Gallery, European Carpets from the Permanent Collection, Mar. 6–June 6, 1982.

Art Institute of Chicago, Elizabeth F. Cheney and Agnes Allerton Textile Galleries, On or Off the Wall: An International Selection of Tapestries and Carpets, 1920s–1970s, May 14, 2003–Feb. 8, 2004.",False,1920/29,Textiles,Textile
144967,China,Bell (Duo),,True,"Eastern Zhou dynasty, Warring States period (480–221 B.C.), c. 4th century B.C.",Arts of Asia,Decorative Arts
140599,"Zhang Yin 張崟
Chinese, 1761-1829",Mansion by the River 青櫺歸隱圖,,False,"Qing dynasty (1644–1911), 1810 清朝",Arts of Asia,Painting
61483,"Wang Meng 王蒙 (Chinese, c. 1308-1385)",Quiet Life in a Wooded Glen 林麓幽居圖,The Art Institute of Chicago : Ming (1368-1644) Ching (1644-1921) dynasties Exhibition 1964,False,"Yuan dynasty (1279–1368), dated 1361",Arts of Asia,Painting
36492,"Francesco de Mura
Italian, 1696-1782",Charity,"London, Heim Gallery, May 13–August 28, 1971, no. 14.

Detroit, Institute of Arts, The Golden Age of Naples: Art and Civilization under the Bourbons 1734–1805, Aug. 11–Nov. 1, 1981, no. 34; Art Institute of Chicago, Jan. 16–Mar. 8, 1982.

Worcester, Massachusetts, Art Museum, Hope and Healing: Painting in Italy in a Time of Plague 1500–1800, Apr. 3–Sep. 25, 2005, cat. 9 (ill.).

Winter Park, Florida, Cornell Fine Arts Museum, In the Light of Naples: The Art of Francesco de Mura, Sep. 17–Dec. 18, 2016, cat. 19; Madison, Chazen Museum of Art, Jan. 20–Apr. 2, 2017; Arlington, NY, Frances Lehman Loeb Art Center, Apr. 21–July 2, 2017 [Winter Park and Madison only].",False,1743/44,Painting and Sculpture of Europe,Painting
76279,"Artist Unknown
Chinese",Yang Pu Moving His Family,,False,Yuan dynasty (1279–1368) 元朝,Essentials,Painting
12069,"China, probably Guangdong or Guangxi province",Mountain-Shaped Incense Burner (Boshan Xianglu),,True,Western Han dynasty (206 B.C.–A.D. 9),Arts of Asia,Religious/Ritual Object
58479,"Designed by Jean Lurçat (French, 1892–1966)
France",Carpet or Hanging,"Art Institute of Chicago, Agnes Allerton Gallery, European Carpets from the Permanent Collection, Mar. 6–June 6, 1982.

Art Institute of Chicago, Elizabeth F. Cheney and Agnes Allerton Textile Galleries, On or Off the Wall: An International Selection of Tapestries and Carpets 1920s–1970s, May 14, 2003–Feb. 8, 2004.",False,1920/29,Textiles,Textile
156474,"Yamakawa Shuho
Japanese, 1898-1944",Relaxing in the Shade,,False,c. 1933,Arts of Asia,Painting
145677,"Ni Zan 倪瓚 (Chinese, 1301–1374)",Poetic Thoughts in a Forest Pavilion 林堂詩思圖,,False,"Ming dynasty (1368–1644), c. 1371",Arts of Asia,Painting
150591,"Designed by Jean Lurçat (French, 1892–1966)
Produced by Maison Myrbor
Algeria or France",Le Jardin (The Garden),"Art Institute of Chicago, Elizabeth F. Cheney and Agnes Allerton Textile Galleries, On or Off the Wall: An International Selection of Tapestries and Carpets, 1920s–1970s, May 14, 2003–Feb. 8, 2004.

Philadelphia, The Barnes Foundation, Marie Cuttoli: The Modern Thread from Miró to Man Ray, Feb. 23, 2020–May 10, 2020.",False,c. 1925,Textiles,Textile
87263,"Suzuki Kiitsu 
Japanese, 1796-1858",Flowers of Autumn and Winter,,False,19th century,Arts of Asia,Painting
271418,"Soga Shōhaku 曾我 蕭白
Japanese, 1730-1781",Mount Fuji and the Miho Pine Forest,"Nagoya, Japan, Aichi Prefectural Art Museum,<em>Soga Shōhaku: The Ultimate Eccentric</em>, Oct. 8–Nov. 21, 2021, cat. 6.",False,c. 1761-1762,Arts of Asia,Painting
271417,"Soga Shōhaku 曾我 蕭白
Japanese, 1730-1781",Mount Fuji and the Miho Pine Forest,"Nagoya, Japan, Aichi Prefectural Art Museum,<em>Soga Shōhaku: The Ultimate Eccentric</em>, Oct. 8–Nov. 21, 2021, cat. 6.",False,c. 1761-1762,Arts of Asia,Painting
135548,England,Gothic Arches (Furnishing Fabric),"Art Institute of Chicago, Elizabeth F. Cheney and Agnes Allerton Textile Galleries, Gift, Bequest and Purchase: A Selection of Textile Acquisitions from 1993–1997, Apr. 22–July 26, 1998.",False,1830/35,Textiles,Textile
